Food Description,Calories (kcal),Total Fat (g),Cholesterol (mg),Carbohydrate (g),Sugar (g),Protein (g),cluster
"CAMPBELL'S CHUNKY SOUPS,BKD POTATO CHEDDAR BACON BITS SOUP",78.0,3.67,4.0,9.39,1.25,2.04,1
"CAMPBELL'S CHUNKY SOUPS,BKD POTATO W/ STEAK & CHS SOUP",82.0,4.08,6.0,8.57,1.22,3.27,1
"CAMPBELL'S CHUNKY SOUPS,BARBEQUE SEASONED BURGER SOUP",84.0,2.45,6.0,11.43,4.08,4.08,1
"CAMPBELL'S CHUNKY SOUPS,BBQ SEASONED PORK SOUP",68.0,1.43,6.0,8.98,2.04,4.9,1
"CAMPBELL'S CHUNKY SOUPS,BF RIB RST POTATOES HERBS SOUP",44.0,0.41,4.0,6.94,2.45,2.86,1
"CAMPBELL'S CHUNKY SOUPS,BF W/ COUNTRY VEG SOUP",53.0,1.22,6.0,7.35,1.63,3.27,1
"CAMPBELL'S CHUNKY SOUPS,BF W/ WHITE & WILD RICE SOUP",57.0,0.61,4.0,9.8,2.04,3.27,1
"CAMPBELL'S CHUNKY SOUPS,CHICK & DUMPLINGS SOUP",74.0,3.27,12.0,7.76,4.9,3.27,1
"CAMPBELL'S CHUNKY SOUPS,CHICK BROCCOLI CHS & POTATO SOUP",86.0,4.49,8.0,8.16,2.45,2.86,1
"CAMPBELL'S CHUNKY SOUPS,CHICK CORN CHOWDER",82.0,4.08,6.0,8.16,1.22,2.86,1
"CAMPBELL'S CHUNKY SOUPS,CHICK MUSHROOM CHOWDER",78.0,3.67,10.0,7.76,1.63,3.27,1
"CAMPBELL SOUP COMPANY CHUNKY SOUPS,CLASSIC CHICK NDLE SOUP",47.0,1.3,8.0,5.41,0.41,3.41,1
"CAMPBELL'S CHUNKY SOUPS,FAJITA CHICK W/ RICE & BNS SOUP",53.0,0.61,6.0,9.39,2.86,2.86,1
"CAMPBELL'S CHUNKY SOUPS,FIREHOUSE - HOT SPICY BF BEAN CHILI",95.0,3.27,10.0,10.2,2.86,6.12,1
"CAMPBELL'S CHUNKY SOUPS,GRILLED CHICK SAUSAGE GUMBO SOUP",57.0,1.22,8.0,8.57,1.63,2.86,1
"CAMPBELL'S CHUNKY SOUPS,GRILLED CHICK VEG & PASTA SOUP",41.0,1.02,6.0,5.71,0.82,2.45,1
"SOUP,CRM OF ASPARAGUS,CND,PREP W/ EQ VOLUME H2O",35.0,1.68,2.0,4.38,8.256540404040422,0.94,1
"SOUP,BLACK BEAN,CND,PREP W/ EQ VOLUME H2O",46.0,0.66,0.0,7.71,1.24,2.42,1
"CAMPBELL'S CHUNKY SOUPS,GRILLED SIRLOIN STEAK HEARTY VEG SP",53.0,0.82,4.0,7.76,6.12,3.27,1
"SOUP,BEAN W/ PORK,CND,PREP W/ EQ VOLUME H2O",63.0,2.16,1.0,8.31,1.47,2.88,1
"CAMPBELL'S CHUNKY SOUPS,HEALTHY REQUEST CHICK NOODLE SOUP",49.0,1.02,4.0,6.94,1.22,3.27,1
"SOUP,BEAN W/ FRANKFURTERS,CND,PREP W/ EQ VOLUME H2O",75.0,2.79,5.0,8.8,8.256540404040422,3.99,1
"CAMPBELL'S CHUNKY SOUPS,HEALTHY REQUEST VEG SOUP",49.0,0.41,0.0,9.8,3.27,1.63,1
"SOUP,BF NOODLE,CND,PREP W/ EQ VOLUME H2O",34.0,1.23,2.0,3.58,1.03,1.93,1
"SOUP,CRM OF CELERY,CND,PREP W/ EQ VOLUME H2O",37.0,2.29,6.0,3.62,8.256540404040422,0.68,1
"SOUP,CHS,CND,PREP W/ EQ VOLUME H2O",63.0,4.24,12.0,4.26,8.256540404040422,2.19,1
"SOUP,CHICK W/ DUMPLINGS,CND,PREP W/ EQ VOLUME H2O",40.0,2.29,14.0,2.51,0.33,2.33,1
"SOUP,CHICK BROTH,CND,PREP W/ EQ VOLUME H2O",16.0,0.57,0.0,0.38,0.29,2.02,1
"CAMPBELL'S CHUNKY SOUPS,HEARTY BEAN 'N' HAM SOUP",74.0,0.82,4.0,12.24,2.04,4.49,1
"CAMPBELL'S CHUNKY SOUPS,HEARTY BF BARLEY SOUP",65.0,0.82,4.0,10.61,2.04,3.67,1
"SOUP,CRM OF CHICK,CND,PREP W/ EQ VOLUME H2O",48.0,3.02,4.0,3.8,8.256540404040422,1.41,1
"SOUP,CHICK GUMBO,CND,PREP W/ EQ VOLUME H2O",23.0,0.59,2.0,3.43,1.02,1.08,1
"CAMPBELL'S CHUNKY SOUPS,HEARTY CHICK W/ VEG SOUP",45.0,0.82,6.0,6.94,1.22,2.45,1
"SOUP,CHICK NOODLE,CND,PREP W/ EQ VOLUME H2O",25.0,0.95,5.0,2.95,0.27,1.27,1
"CAMPBELL'S CHUNKY SOUPS,HEARTY VEG W/ PASTA SOUP",51.0,0.82,2.0,9.39,3.67,1.63,1
"CAMPBELL'S CHUNKY SOUPS,HERB RSTD CHICK POTATOES GARLIC SOUP",46.0,0.61,6.0,6.94,1.63,3.27,1
"SOUP,CHICK W/ RICE,CND,PREP W/ EQ VOLUME H2O",24.0,0.78,3.0,2.92,0.08,1.45,1
"CAMPBELL'S CHUNKY SOUPS,HONEY RSTD HAM W/ POTATOES SOUP",55.0,1.02,6.0,8.16,2.86,3.27,1
"SOUP,CHICK VEG,CND,PREP W/ EQ VOLUME H2O",31.0,1.18,4.0,3.56,0.54,1.5,1
"SOUP,CHILI BF,CND,PREP W/ EQ VOLUME H2O",57.0,1.24,5.0,9.23,2.49,2.49,1
"CAMPBELL'S CHUNKY SOUPS,ITALIAN SAUSAGE & PEPPERS SOUP",62.0,2.04,8.0,8.16,3.27,2.86,1
"SOUP,CLAM CHOWDER,MANHATTAN,CND,PREP W/EQ VOLUME H2O",30.0,0.86,1.0,4.77,1.32,0.85,1
"CAMPBELL SOUP COMPANY CHUNKY SOUPS,MANHATTAN CLAM CHOWDER",52.0,1.43,2.0,7.76,1.63,2.04,1
"SOUP,CLAM CHOWDER,NEW ENGLAND,CND,PREP W/ EQ VOLUME H2O",35.0,1.01,3.0,5.05,0.19,1.55,1
"CAMPBELL SOUP COMPANY CHUNKY SOUPS,NEW ENGLAND CLAM CHOWDER",81.0,3.85,4.0,9.01,0.0,2.46,1
"SOUP,BF BROTH,BOUILLON,CONSOMME,PREP W/ EQ VOLUME H2O",12.0,0.0,0.0,0.73,8.256540404040422,2.22,1
"CAMPBELL'S CHUNKY SOUPS,OLD FASHIONED POTATO HAM CHOWDER",78.0,4.49,8.0,6.94,0.41,2.45,1
"CAMPBELL SOUP COMPANY CHUNKY SOUPS,OLD FASHIONED VEG BF SOUP",49.0,1.23,6.0,6.24,1.15,3.16,1
"CAMPBELL'S CHUNKY SOUPS,PEPPER STEAK SOUP",48.0,0.61,6.0,7.35,1.63,3.27,1
"CAMPBELL'S CHUNKY SOUPS,PORK RST CARROTS POTATOES SOUP",50.0,1.22,6.0,6.53,1.22,3.27,1
"CAMPBELL'S CHUNKY SOUPS,ROADHOUSE - BF BEAN CHILI",95.0,3.27,10.0,10.2,2.86,6.12,1
"CAMPBELL'S CHUNKY SOUPS,SALISBURY STEAK MUSHRMS ONIONS SOUP",57.0,1.84,6.0,7.76,2.45,2.86,1
"CAMPBELL'S CHUNKY SOUPS,SAVORY CHICK WHITE WILD RICE SOUP",45.0,0.82,4.0,7.35,0.41,2.86,1
"SOUP,MINESTRONE,CND,PREP W/ EQ VOLUME H2O",34.0,1.04,1.0,4.66,8.256540404040422,1.77,1
"CAMPBELL'S CHUNKY SOUPS,SAVORY POT RST SOUP",49.0,0.41,4.0,8.16,1.63,2.86,1
"SOUP,MUSHROOM BARLEY,CND,PREP W/ EQ VOLUME H2O",30.0,0.93,0.0,4.8,8.256540404040422,0.77,1
"SOUP,CRM OF MUSHROOM,CND,PREP W/ EQ VOLUME H2O",42.0,2.88,0.0,3.29,0.72,0.79,1
"SOUP,MUSHROOM W/ BF STOCK,CND,PREP W/ EQ VOLUME H2O",35.0,1.65,3.0,3.81,8.256540404040422,1.29,1
"SOUP,ONION,CND,PREP W/ EQ VOLUME H2O",23.0,0.7,0.0,3.27,1.33,1.5,1
"SOUP,CRM OF ONION,CND,PREP W/ EQ VOLUME H2O",44.0,2.16,6.0,5.2,8.256540404040422,1.13,1
"CAMPBELL'S CHUNKY SOUPS,SAVORY VEG SOUP",44.0,0.41,0.0,8.98,2.45,1.22,1
"SOUP,OYSTER STEW,CND,PREP W/ EQ VOLUME H2O",24.0,1.59,6.0,1.69,8.256540404040422,0.87,1
"SOUP,PEA,GRN,CND,PREP W/ EQ VOLUME H2O",61.0,1.09,0.0,9.88,3.19,3.2,1
"SOUP,PEA,SPLIT W/ HAM,CND,PREP W/ EQ VOLUME H2O",75.0,1.74,3.0,11.05,8.256540404040422,4.08,1
"SOUP,PEPPERPOT,CND,PREP W/ EQ VOLUME H2O",41.0,1.85,4.0,3.75,0.0,2.54,1
"SOUP,CRM OF POTATO,CND,PREP W/ EQ VOLUME H2O",30.0,0.97,2.0,4.7,8.256540404040422,0.72,1
"CAMPBELL'S CHUNKY SOUPS,SIZZLIN' STEAK- GRLD STK CHILI BNS",81.0,1.22,6.0,11.02,3.67,6.53,1
"SOUP,SCOTCH BROTH,CND,PREP W/ EQ VOLUME H2O",33.0,1.07,2.0,3.87,0.26,2.03,1
"SOUP,CRM OF SHRIMP,CND,PREP W/ EQ VOLUME H2O",36.0,2.07,7.0,3.27,0.24,1.11,1
"CAMPBELL'S CHUNKY SOUPS,SLOW RSTD BF W/ MUSHROOMS SOUP",48.0,0.61,6.0,7.35,2.04,3.27,1
"CAMPBELL'S CHUNKY SOUPS,SMOKED CHICK W/ RSTD CORN CHOWDER",84.0,4.08,6.0,7.76,1.22,4.08,1
"CAMPBELL'S CHUNKY SOUPS,SPLIT PEA 'N' HAM SOUP",78.0,1.02,4.0,12.24,2.04,4.9,1
"SOUP,STOCKPOT,CND,PREP W/ EQ VOLUME H2O",40.0,1.58,2.0,4.65,8.256540404040422,1.97,1
"SOUP,TOMATO BF W/ NOODLE,CND,PREP W/ EQ VOLUME H2O",56.0,1.71,2.0,8.44,0.73,1.78,1
"CAMPBELL'S CHUNKY SOUPS,STEAK 'N' POTATO SOUP",49.0,0.82,6.0,7.35,0.41,3.27,1
"SOUP,TOMATO RICE,CND,PREP W/ EQ VOLUME H2O",47.0,1.06,1.0,8.54,2.95,0.82,1
"CAMPBELL'S CHNKY SOUPS,TANTALIZIN' TRKY - TRKY CHILI BNS SP",78.0,1.02,6.0,11.02,3.67,6.12,1
"SOUP,TURKEY NOODLE,CND,PREP W/ EQ VOLUME H2O",28.0,0.82,2.0,3.54,8.256540404040422,1.6,1
"SOUP,TURKEY VEG,CND,PREP W/ EQ VOLUME H2O",30.0,1.26,1.0,3.58,8.256540404040422,1.28,1
"SOUP,VEGETARIAN VEG,CND,PREP W/ EQ VOLUME H2O",28.0,0.79,0.0,4.89,1.57,0.86,1
"CAMPBELL SOUP COMPANY,CAMPBELL'S LO NA SOUPS,CHICK BROTH",10.0,0.34,2.0,0.34,0.34,1.01,1
"SOUP,VEG BF,CND,PREP W/ EQ VOLUME H2O",31.0,0.76,2.0,4.06,0.45,2.23,1
"SOUP,VEG W/ BF BROTH,CND,PREP W/ EQ VOLUME H2O",33.0,0.78,1.0,5.35,0.82,1.21,1
"SOUP,BEAN W/ BACON,DRY,MIX,PREP W/ H2O",40.0,0.81,1.0,6.18,0.23,2.07,1
"SOUP,BF BROTH OR BOUILLON,PDR,PREP W/H2O",3.0,0.08,0.0,0.25,0.2,0.21,1
"SOUP,BF BROTH,CUBED,PREP W/H2O",3.0,0.08,0.0,0.25,0.2,0.21,1
"SOUP,CHICK BROTH OR BOUILLON,DRY,PREP W/ H2O",4.0,0.23,0.0,0.3,0.29,0.28,1
"SOUP,CHICK BROTH CUBES,DRY,PREP W/ H2O",5.0,0.12,0.0,0.62,8.256540404040422,0.39,1
"CAMPBELL'S LO NA SOUPS,CHICK W/ NOODLES SOUP",52.0,1.48,10.0,5.57,1.31,3.93,1
"SOUP,CRM OF CHICK,DRY,MIX,PREP W/ H2O",41.0,2.04,1.0,5.11,1.59,0.68,1
"SOUP,CHICK RICE,DRY,MIX,PREP W/ H2O",24.0,0.57,1.0,3.66,0.29,0.97,1
"CAMPBELL'S LO NA SOUPS,CRM OF MUSHROOM SOUP",54.0,2.68,5.0,6.38,2.01,1.01,1
"SOUP,CONSOMME W/ GELATIN,DRY,MIX,PREP W/ H2O",7.0,0.08,0.0,0.78,0.45,0.87,1
"SOUP,MUSHROOM,DRY,MIX,PREP W/ H2O",33.0,1.82,0.0,4.4,0.18,0.66,1
"SOUP,ONION,DRY,MIX,PREP W/ H2O",12.0,0.01,0.0,2.77,0.2,0.32,1
"SOUP,OXTAIL,DRY,MIX,PREP W/ H2O",28.0,1.01,0.0,3.54,0.98,1.11,1
"CAMPBELL'S RED & WHITE - MCRWVEABLE BOWLS,CHICK NOODLE SOUP",30.0,0.82,6.0,4.08,0.0,1.63,1
"SOUP,TOMATO,DRY,MIX,PREP W/ H2O",38.0,0.61,2.0,7.17,3.9,0.93,1
"SOUP,TOMATO VEG,DRY,MIX,PREP W/ H2O",22.0,0.34,0.0,4.04,0.99,0.79,1
"SOUP,VEG BF,DRY,MIX,PREP W/ H2O",21.0,0.44,0.0,3.17,0.36,1.16,1
"CAMPBELL'S RED & WHITE - MICROWAVEABLE BOWLS,CHICK RICE SOUP",30.0,0.41,2.0,5.71,0.41,0.82,1
"CAMPBELL'S RED & WHITE - MCRWVEABLE BOWLS,CREAMY TOMATO SOUP",64.0,2.04,2.0,10.2,6.53,1.22,1
"CAMPBELL'S RED & WHITE - MICROWAVEABLE BOWLS,TOMATO SOUP",44.0,0.0,0.0,9.8,7.35,1.22,1
"CAMPBELL'S RED & WHITE - MICROWAVEABLE BOWLS,VEG BF SOUP",34.0,0.2,4.0,6.12,0.82,2.04,1
"CAMPBELL'S SEL GOLD LABEL SOUPS,BLNDED RED PEPP BLK BEAN SP",49.0,0.61,2.0,9.39,4.08,1.22,1
"CAMPBELL'S SEL GOLD LABEL SOUPS,CRMY PORTOBELLO MSHRM SOUP",42.0,1.63,4.0,5.71,0.82,1.22,1
"CAMPBELL'S SEL GOLD LABEL SOUPS,GOLDEN BUTTERNUT SQSH SOUP",37.0,0.61,2.0,7.35,3.27,0.82,1
"CAMPBELL BOWLS,98% FAT FREE NEW ENGLAND CLAM CHOWDER",45.0,1.02,4.0,6.94,0.41,2.45,1
"CAMPBELL'S SEL MCRWVABLE BOWLS,CHICK W/ EGG NOODLES SOUP",49.0,1.63,10.0,4.9,0.82,3.27,1
"CAMPBELL'S SEL MCRWVABLE BWLS,ITAL SSGE PSTA & PEPRNI SOUP",53.0,2.45,6.0,6.12,2.04,2.86,1
"CAMPBELL'S SEL MCRWVABLE BOWLS,ITALIAN-STYLE WEDDING SOUP",53.0,1.63,6.0,6.53,1.22,2.86,1
"CAMPBELL'S SEL MCRWVABLE BOWLS,MEX STYLE CHICK TORTILLA SOUP",52.0,1.02,8.0,7.76,1.22,3.27,1
"CAMPBELL'S SEL MICROWAVEABLE BOWLS,MINESTRONE SOUP",39.0,0.41,2.0,7.76,2.04,1.63,1
"CAMPBELL'S SEL MCRWVABLE BOWLS,SVRY CHK & LONG GRN RICE SOUP",45.0,0.41,6.0,6.12,1.22,2.45,1
"SOUP,CHICK NOODLE,DRY,MIX,PREP W/ H2O",23.0,0.55,4.0,3.67,0.31,0.84,1
"CAMPBELL'S SEL SOUP,98% FAT FREE NEW ENGLAND CLAM CHOWDER",45.0,1.02,4.0,6.94,0.41,2.45,1
"CAMPBELL'S SEL SOUP,BF W/ RSTD BARLEY SOUP",54.0,0.41,4.0,8.57,1.63,3.67,1
"CAMPBELL'S SEL SOUP,CHICK & PASTA W/ RSTD GARLIC SOUP",46.0,0.41,6.0,7.35,0.82,3.27,1
"CAMPBELL'S SEL SOUP,CHICK VEG MEDLEY SOUP",49.0,0.41,8.0,7.76,1.63,2.86,1
"CAMPBELL'S SEL SOUP,CREAMY CHICK ALFREDO SOUP",90.0,5.31,8.0,6.12,0.41,4.08,1
"CAMPBELL'S SEL SOUP,HEALTHY REQUEST MEX STYLE CHICK TORTILLA",57.0,0.82,6.0,8.98,0.82,3.27,1
"CAMPBELL'S SEL SOUP,ITALIAN SAUSAGE W/ PASTA PEPPERONI SOUP",65.0,2.86,6.0,7.35,1.22,2.86,1
"CAMPBELL'S SEL SOUP,ITALIAN-STYLE WEDDING SOUP",53.0,2.04,6.0,5.31,1.22,2.86,1
"CAMPBELL'S SEL SOUP,MEDITERRANEAN MEATBALL BOWTIE PASTA SOUP",49.0,1.63,8.0,6.12,1.22,2.86,1
"CAMPBELL'S SEL SOUP,MEXICAN STYLE CHICK TORTILLA SOUP",45.0,0.82,4.0,6.12,1.22,2.86,1
"CAMPBELL SOUP COMPANY,CAMPBELL'S SEL SOUP,MINESTRONE SOUP",41.0,0.2,0.0,8.16,2.04,2.04,1
"CAMPBELL SOUP COMPANY SEL SOUP,NEW ENGLAND CLAM CHOWDER",70.0,4.23,4.0,5.68,0.0,2.33,1
"CAMPBELL'S SEL SOUP,POTATO BROCCOLI CHS SOUP",61.0,3.67,2.0,6.12,1.22,1.22,1
"SOUP,BF MUSHROOM,CND,PREP W/ EQ VOLUME H2O",30.0,1.23,3.0,2.6,8.256540404040422,2.37,1
"CAMPBELL'S SEL SOUP,RSTD CHICK W/ LONG GRAIN WILD RICE SOUP",45.0,0.2,6.0,8.16,0.82,2.45,1
"SOUP,CHICK MUSHROOM,CND,PREP W/ EQ VOLUME H2O",54.0,3.75,4.0,3.8,8.256540404040422,1.8,1
"CAMPBELL'S SEL SOUP,RSTD CHICK W/ ROTINI & PENNE PASTA SOUP",37.0,0.41,4.0,5.31,0.82,3.27,1
"CAMPBELL'S SEL SOUP,SAVORY WHITE BEAN W/ RSTD HAM SOUP",69.0,0.61,2.0,12.24,1.63,3.67,1
"CAMPBELL SOUP COMPANY SEL SOUP,SLOW RSTD BF & VEG SOUP",43.0,0.87,4.0,5.46,0.95,3.25,1
"CAMPBELL'S SEL SOUP,SPLIT PEA W/ RSTD HAM SOUP",61.0,0.41,2.0,11.84,2.04,3.67,1
"SOUP,TOMATO BISQUE,CND,PREP W/ EQ VOLUME H2O",50.0,1.02,2.0,9.6,8.256540404040422,0.92,1
"SOUP,TOMATO,CND,PREP W/EQ VOLUME H2O,COMM",30.0,0.28,0.0,6.57,3.97,0.79,1
"CAMPBELL SOUP COMPANY,CAMPBELL'S SEL SOUP,TOMATO GARDEN SOUP",41.0,0.2,2.0,8.57,4.08,1.22,1
"CAMPBELL SOUP COMPANY,CAMPBELL'S SEL SOUP,VEG MEDLEY SOUP",33.0,0.2,0.0,6.53,2.45,1.22,1
"SOUP,RAMEN NOODLE,ANY FLAVOR,DRY",436.0,15.63,0.0,63.42,1.57,10.48,0
"SOUP,BROCCOLI CHS,CND,COND,COMM",87.0,5.3,4.0,7.7,2.12,2.1,1
"CAMPBELL'S SOUP AT HAND,BLENDED VEG MEDLEY SOUP",33.0,0.49,2.0,6.23,2.95,0.98,1
"CAMPBELL'S SOUP AT HAND,CHICK & STARS SOUP",21.0,0.49,2.0,3.28,0.33,0.98,1
"CAMPBELL'S SOUP AT HAND,CHICK W/ MINI NOODLES SOUP",26.0,0.66,3.0,3.61,0.66,1.31,1
"CAMPBELL'S SOUP AT HAND,CRM OF BROCCOLI SOUP",47.0,2.3,2.0,5.57,0.98,0.98,1
"CAMPBELL'S SOUP AT HAND,CREAMY CHICK SOUP",43.0,2.95,2.0,4.26,0.33,1.31,1
"CAMPBELL'S SOUP AT HAND,CREAMY TOMATO SOUP",62.0,1.31,2.0,11.15,7.54,1.31,1
"CAMPBELL'S SOUP AT HAND,ITALIAN STYLE WEDDING SOUP",24.0,0.82,3.0,3.28,0.98,0.98,1
"CAMPBELL'S SOUP AT HAND,NEW ENGLAND CLAM CHOWDER",40.0,1.97,2.0,4.26,0.0,1.31,1
"CAMPBELL SOUP COMPANY,CAMPBELL'S SOUP AT HAND,VEG BF SOUP",20.0,0.33,2.0,3.28,1.64,0.98,1
"CAMPBELL'S SOUP AT HAND,VELVETY POTATO SOUP",51.0,2.3,2.0,6.89,1.64,0.66,1
"CAMPBELL SOUP COMPANY,PACE,CHIPOTLE CHUNKY SALSA",25.0,0.0,0.0,6.25,6.25,0.0,1
"CAMPBELL SOUP COMPANY,PACE,CILANTRO CHUNKY SALSA",25.0,0.0,0.0,6.25,6.25,0.0,1
"CAMPBELL SOUP COMPANY,PACE,ENCHILADA SAU",40.0,0.0,0.0,8.33,6.67,1.67,1
"CAMPBELL SOUP COMPANY,PACE,GRN TACO SAU",25.0,0.0,0.0,6.25,6.25,0.0,1
"CAMPBELL SOUP COMPANY,PACE,LIME & GARLIC CHUNKY SALSA",38.0,0.0,0.0,9.38,6.25,0.0,1
"CAMPBELL SOUP COMPANY,PACE,ORGANIC PICANTE SAU",25.0,0.0,0.0,6.25,6.25,0.0,1
"CAMPBELL SOUP COMPANY,PACE,PICANTE SAU",25.0,0.0,0.0,6.25,6.25,0.0,1
"CAMPBELL SOUP COMPANY,PACE,RED TACO SAU",50.0,0.0,0.0,12.5,6.25,0.0,1
"CAMPBELL SOUP COMPANY,PACE,THICK & CHUNKY SALSA",25.0,0.0,0.0,6.25,6.25,0.0,1
"CAMPBELL SOUP COMPANY,SWANSON BROTH,CERT ORGANIC VEG BROTH",5.0,0.0,0.0,1.28,0.85,0.0,1
"CAMPBELL SOUP COMPANY,SWANSON BROTH,VEG BROTH",5.0,0.0,0.0,1.28,0.85,0.0,1
"CAMPBELL SOUP COMPANY,HLTHY RQUST STYLE WEDDING SP",45.0,1.02,4.0,6.53,0.41,2.45,1
"SAUCE,CHS SAU MIX,DRY",438.0,18.33,23.0,60.52,10.26,7.68,0
"SOUP,CHICK CORN CHOWDER,CHUNKY,RTS,SINGLE BRAND",99.0,6.3,11.0,7.5,8.256540404040422,3.1,1
"SOUP,CHICK MUSHROOM CHOWDER,CHUNKY,RTS,SINGLE BRAND",80.0,4.4,6.0,7.1,8.256540404040422,3.0,1
"SOUP,POTATO HAM CHOWDER,CHUNKY,RTS,SINGLE BRAND",80.0,5.2,9.0,5.6,8.256540404040422,2.7,1
"SOUP,SIRLOIN BURGER W/VEG,RTS,SINGLE BRAND",77.0,3.7,11.0,6.8,8.256540404040422,4.2,1
"SOUP,SPLIT PEA W/ HAM,CHUNKY,RED FAT,RED NA,RTS,SINGLE BRAND",76.0,1.1,6.0,11.3,8.256540404040422,5.2,1
"SOUP,BEAN W/BACON,COND,SINGLE BRAND",117.0,2.1,3.0,18.0,8.256540404040422,6.5,1
"SOUP,BF W/VEG&BARLEY,CND,COND,SINGLE BRAND",61.0,1.4,6.0,8.2,8.256540404040422,3.9,1
"SOUP,CHICK W/STAR-SHAPED PASTA,CND,COND,SINGLE BRAND",50.0,1.4,4.0,7.1,8.256540404040422,2.3,1
"SOUP,CRM OF CHICK,CND,COND,SINGLE BRAND",99.0,6.5,7.0,7.7,8.256540404040422,2.4,1
"SOUP,SPLIT PEA W/HAM&BACON,CND,COND,SINGLE BRAND",140.0,2.3,3.0,21.2,8.256540404040422,8.6,1
"SOUP,VEG BF,CND,COND,SINGLE BRAND",53.0,0.8,5.0,7.7,8.256540404040422,3.8,1
"SOUP,CHICK VEG,CHUNKY,RED FAT,RED NA,RTS,SINGLE BRAND",40.0,0.5,4.0,6.3,8.256540404040422,2.7,1
"SOUP,VEG BF,MICROWAVABLE,RTS,SINGLE BRAND",44.0,0.7,3.0,3.3,8.256540404040422,6.2,1
"SOUP,BF & VEG,CND,RTS",47.0,1.08,10.0,6.05,1.37,3.2,1
"SAUCE,CHS,RTS",174.0,13.29,29.0,6.83,0.42,6.71,1
"SAUCE,PASTA,SPAGHETTI/MARINARA,RTS",49.0,1.48,2.0,7.53,5.5,1.41,1
"CAMPBELL SOUP COMP,PREGO PASTA,TRADITIONAL ITALIAN SAU,RTS",54.0,1.15,0.0,10.0,7.69,1.54,1
"SOUP,CRM OF CHICK,CND,COND,RED NA",58.0,1.3,6.0,9.5,0.39,1.8,1
"SOUP,TOMATO,CND,COND,RED NA",65.0,0.56,0.0,13.41,8.11,1.61,1
"GRAVY,BROWN INST,DRY",380.0,11.85,12.0,59.78,9.23,8.53,0
"GRAVY,INST BF,DRY",369.0,9.48,11.0,61.1,23.9,9.8,0
"GRAVY,INST TURKEY,DRY",409.0,14.66,24.0,57.56,7.6,11.72,0
"SAUCE,ALFREDO MIX,DRY",535.0,36.35,56.0,36.52,5.4,15.32,0
"SAUCE,PEPPERS,HOT,CHILI,MATURE RED,CND",21.0,0.6,0.0,3.9,2.55,0.9,1
"SAUCE,CHILI,PEPPERS,HOT,IMMAT GRN,CND",20.0,0.1,0.0,5.0,2.55,0.7,1
FISH BROTH,16.0,0.6,0.0,0.4,0.09,2.0,1
"SOUP,TOMATO,LO NA,W/H2O",30.0,0.28,0.0,6.57,3.97,0.79,1
"SOUP,PEA,LO NA,PREP W/ EQ VOLUME H2O",62.0,1.09,0.0,9.88,3.19,3.2,1
"SOUP,CHICK NOODLE,LO NA,CND,PREP W/ EQ VOLUME H2O",25.0,0.95,5.0,2.95,0.27,1.27,1
"SOUP,VEG SOUP,COND,LO NA,PREP W/ EQ VOLUME H2O",33.0,0.45,0.0,6.06,2.15,1.1,1
"SOUP,CRM OF MUSHROOM,LO NA,RTS,CND",53.0,3.7,1.0,4.53,1.72,1.0,1
"POTATO SOUP,INST,DRY MIX",343.0,3.1,12.0,76.14,10.0,9.2,0
"SOUP,CHICK BROTH,LO NA,CND",16.0,0.6,0.0,1.2,0.13,2.0,1
"SAUCE,WORCESTERSHIRE",78.0,0.0,0.0,19.46,10.03,0.0,1
"SAUCE,TOMATO CHILI SAU,BTLD,W/SALT",104.0,0.3,0.0,19.79,10.54,2.5,1
"SAUCE,TOMATO CHILI SAU,BTLD,NO SALT,LO NA",104.0,0.3,0.0,28.73,8.96,2.5,1
"SOUP,VEG CHICK,CND,PREP W/ H2O,LO NA",69.0,2.0,7.0,8.76,1.42,5.1,1
"SAUCE,BARBECUE,LO NA",150.0,0.29,0.0,36.25,26.06,0.0,1
"SAUCE,PASTA,SPAGHETTI/MARINARA,RTS,LO NA",51.0,1.48,2.0,8.06,5.5,1.41,1
"GRAVY,MEAT OR POULTRY,LO NA,PREP",53.0,2.4,3.0,6.16,0.01,3.8,1
"SOUP,BF & MUSHROOM,LO NA,CHUNK STYLE",69.0,2.3,6.0,9.58,0.84,4.3,1
ADOBO FRESCO,271.0,20.9,0.0,18.6,2.03,2.0,1
"SOUP,BF STROGANOFF,CND,CHUNKY STYLE,RTS",98.0,4.6,21.0,9.0,1.68,5.1,1
"SOUP,BOUILLON CUBES&GRANULES,LO NA,DRY",438.0,13.89,13.0,64.88,14.47,16.7,0
"SOUP,RAMEN NOODLE,BF FLAVOR,DRY",436.0,15.71,41.551994091580504,63.27,1.78,10.29,0
"SOUP,RAMEN NOODLE,CHICK FLAVOR,DRY",437.0,15.55,41.551994091580504,63.57,1.35,10.66,0
"SOUP,SWANSON CHICK BROTH 99% FAT FREE",4.0,0.17,0.0,0.14,0.15,0.54,1
"GRAVY,HEINZ HOME STYLE SAVORY BF GRAVY",39.0,1.13,2.0,6.24,0.52,1.09,1
"CAMPBELL SOUP COMPANY,HEALTHY REQUEST,CHICK NOODLE SOUP,COND",48.0,1.59,8.0,6.35,0.79,2.38,1
"CAMPBELL SOUP COMPANY,HEALTHY REQUEST,CRM OF CELERY,COND",56.0,1.61,4.0,9.68,1.61,0.81,1
