Food Description,Calories (kcal),Total Fat (g),Cholesterol (mg),Carbohydrate (g),Sugar (g),Protein (g),cluster
"DESSERT TOPPING,SEMI SOLID,FRZ",318.0,25.31,0.0,23.05,23.05,1.25,0
"SOUR CRM,IMITN,CULTURED",208.0,19.52,0.0,6.63,6.63,2.4,1
"MILK SUBSTITUTES,FLUID,W/LAURIC ACID OIL",61.0,3.41,0.0,6.16,8.256540404040422,1.75,1
"MILK,WHL,3.25% MILKFAT,W/ ADDED VITAMIN D",61.0,3.25,10.0,4.8,5.05,3.15,1
"MILK,PRODUCER,FLUID,3.7% MILKFAT",64.0,3.66,14.0,4.65,8.256540404040422,3.28,1
"MILK,RED FAT,FLUID,2% MILKFAT,W/ ADDED VIT A & VITAMIN D",50.0,1.98,8.0,4.8,5.06,3.3,1
"MILK,RED FAT,FLUID,2% MILKFAT,W/ ADDED NFMS, VIT A & VIT D",51.0,1.92,8.0,4.97,8.256540404040422,3.48,1
"MILK,RED FAT,FLUID,2% MILKFAT,PROT FORT,W/ ADDED VIT A & D",56.0,1.98,8.0,5.49,5.26,3.95,1
"MILK,LOWFAT,FLUID,1% MILKFAT,W/ ADDED VIT A & VITAMIN D",42.0,0.97,5.0,4.99,5.2,3.37,1
"MILK,LOWFAT,FLUID,1% MILKFAT,W/ ADD NONFAT MILK SOL,VIT A/ D",43.0,0.97,4.0,4.97,8.256540404040422,3.48,1
"MILK,LOWFAT,FLUID,1% MILKFAT,PROT FORT,W/ ADDED VIT A & D",48.0,1.17,4.0,5.52,8.256540404040422,3.93,1
"MILK,NONFAT,FLUID,W/ ADDED VIT A & VIT D (FAT FREE OR SKIM)",34.0,0.08,2.0,4.96,5.09,3.37,1
"MILK,NONFAT,FLUID,W/ ADDED NONFAT MILK SOL,VIT A & VIT D",37.0,0.25,2.0,5.02,5.02,3.57,1
"MILK,NONFAT,FLUID,PROT FORT,W/ ADD VIT A & D (FAT FREE/SKIM)",41.0,0.25,2.0,5.56,8.256540404040422,3.96,1
"MILK,BTTRMLK,FLUID,CULTURED,LOWFAT",40.0,0.88,4.0,4.79,4.79,3.31,1
"MILK,LO NA,FLUID",61.0,3.46,14.0,4.46,4.46,3.1,1
"MILK,DRY,WHL,W/ ADDED VITAMIN D",496.0,26.71,97.0,38.42,38.42,26.32,0
"MILK,DRY,NONFAT,REG,WO/ ADDED VIT A & VITAMIN D",362.0,0.77,20.0,51.98,51.98,36.16,0
"MILK,DRY,NONFAT,INST,W/ ADDED VIT A & VITAMIN D",358.0,0.72,18.0,52.19,52.19,35.1,0
"MILK,DRY,NONFAT,CA RED",354.0,0.2,2.0,51.8,8.256540404040422,35.5,1
